T,strike,rf,dividend,v0,kappa,sigma,rho,theta,price,original_iv
177,111.918,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,11.3612,0.563791,
202,83.6157,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,25.7912,0.600243,
118,124.163,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.75515,0.531822,
18,112.784,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.497025,0.426785,
340,116.366,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,16.4148,0.572718,
100,58.0169,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,42.7123,0.684239,
299,102.002,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,20.1265,0.58109,
216,52.9898,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,48.4874,0.646517,
180,125.205,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,7.5624,0.549389,
21,111.455,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.957649,0.450475,
140,134.031,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,3.87955,0.527186,
163,61.9235,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,40.259,0.64298,
24,75.7193,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,24.7385,0.703492,
338,172.628,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,5.31668,0.544079,
313,34.9017,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,64.8619,0.659198,
182,37.4406,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,62.3869,0.695581,
84,67.2563,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,34.1225,0.665485,
277,38.0533,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,61.9592,0.660844,
245,55.5989,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,46.6541,0.635918,
143,72.5113,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,31.3873,0.62623,
199,117.938,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,10.4325,0.560179,
166,123.667,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,7.29585,0.548007,
104,97.3924,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,13.5806,0.577866,
311,63.1256,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,41.9237,0.617295,
80,101.799,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,9.81833,0.563162,
307,130.735,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,11.2945,0.561866,
210,47.3055,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,53.3854,0.659578,
74,62.2668,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,38.4349,0.692969,
158,148.597,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.56996,0.518017,
29,115.229,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.948333,0.454588,
135,95.6571,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,16.1993,0.583166,
106,133.228,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.48129,0.510247,
173,62.1336,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,40.263,0.639741,
302,175.379,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.07814,0.53751,
54,79.9106,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,22.3285,0.640147,
359,82.567,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,31.0068,0.596299,
177,161.586,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.93898,0.513682,
60,59.9215,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,40.4463,0.721751,
184,156.212,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.61544,0.52099,
231,91.0094,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,22.7221,0.590431,
57,92.7337,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,13.106,0.587941,
30,125.031,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.139092,0.405235,
83,91.9913,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,15.3327,0.590146,
353,95.1281,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,24.7771,0.586952,
88,157.525,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.211473,0.45049,
56,141.164,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.149008,0.42741,
257,117.049,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,13.1579,0.567132,
338,130.797,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,12.3572,0.564255,
105,72.3819,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,30.3635,0.638218,
96,56.1933,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,44.3534,0.693851,
295,108.866,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,17.3543,0.575734,
270,93.7432,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,22.7522,0.587652,
132,78.1187,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,26.9019,0.616883,
48,79.9942,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,21.9699,0.644437,
122,165.228,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.49718,0.477049,
104,113.277,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,6.91609,0.545205,
